% data_file
@RELATION entity

@attribute Checked {Yes,No,Y,N}
@attribute Sentence string
@attribute Marked {Y,N}
@attribute By string
@attribute Speaker string
@attribute Party {R,D}
@attribute DebateId numeric
@attribute ID numeric
@attribute Id_1 numeric
@ATTRIBUTE entype_PERSON NUMERIC
@ATTRIBUTE entype_LOCATION NUMERIC
@ATTRIBUTE entype_ORGANIZATION NUMERIC
@ATTRIBUTE entype_MISC NUMERIC
@ATTRIBUTE entype_MONEY NUMERIC
@ATTRIBUTE entype_NUMBER NUMERIC
@ATTRIBUTE entype_ORDINAL NUMERIC
@ATTRIBUTE entype_PERCENT NUMERIC
@ATTRIBUTE entype_DATE NUMERIC
@ATTRIBUTE entype_TIME NUMERIC
@ATTRIBUTE entype_DURATION NUMERIC
@ATTRIBUTE entype_SET NUMERIC
@ATTRIBUTE class_label_1 {0, 1}

@DATA
Yes,'There was a breach because the DNC vendor screwed up, information came to our campaign.',Y,washingtonpost.com,SANDERS,D,1,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Yes,'In this case, our staff did the wrong thing -- they looked a that information.',Y,washingtonpost.com,SANDERS,D,1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'As soon as we learned that they looked at that information - we fired that person.',Y,washingtonpost.com,SANDERS,D,1,30,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'We are now doing an independent internal investigation to see who else was involved.',Y,washingtonpost.com,SANDERS,D,1,30,4,0,0,0,0,0,0,0,0,1,0,0,0,1
No,'Thirdly, what I have a really problem, and as you mentioned - this is a problem, I recognize it as a problem.',?,None,SANDERS,D,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'But what the DNC did arbitrarily without discussing it with us is shut off our access to our information crippling our campaign.',?,None,SANDERS,D,1,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'That is an egregious act.',?,None,SANDERS,D,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I\'m glad that late last night, that was resolved.',?,None,SANDERS,D,1,31,3,0,0,0,0,0,0,0,0,0,3,0,0,0
Yes,'Fourthly, I work -- look forward to working with Secretary Clinton for an investigation, an independent investigation, about all of the breaches that have occurred from day one in this campaign, because I am not convinced that information from our campaign may not have ended up in her campaign.',Y,pbs.org,SANDERS,D,1,32,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Yes,'Don\'t know that.',N,pbs.org,SANDERS,D,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'But we need an independent investigation, and I hope Secretary Clinton will agree with me for the need of that.',?,None,SANDERS,D,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'Last point.',?,None,SANDERS,D,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'When we saw the breach two months, we didn\'t go running to the media and make a big deal about it.',?,None,SANDERS,D,1,34,1,0,0,0,0,0,0,0,0,0,0,2,0,0
No,'And it bothers me very much that, rather than working on this issue to resolve it, it has become many press releases from the Clinton campaign later.',?,None,SANDERS,D,1,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0
No,Absolutely.,?,None,SANDERS,D,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Yes, I apologize.',?,None,SANDERS,D,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Not only -- not only do I apologize to Secretary Clinton -- and I hope we can work together on an independent investigation from day one -- I want to apologize to my supporters.',?,None,SANDERS,D,1,41,0,1,0,0,0,0,1,0,0,0,0,1,0,0
No,'This is not the type of campaign that we run.',?,None,SANDERS,D,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And if I find anybody else involved in this, they will also be fired.',?,None,SANDERS,D,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I very much appreciate that comment, Bernie.',?,None,CLINTON,D,1,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'It really is important that we go forward on this.',?,None,CLINTON,D,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I know that you now have your data back, and that there has been an agreement for an independent inquiry into what did happen.',?,None,CLINTON,D,1,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0
No,'Obviously, we were distressed when we learned of it, because we have worked very hard -- I said in the beginning of this campaign, we want to reach as many voters as possible, and we have tens of thousands of volunteers doing that, and entering data all the time to keep up with what people are telling us.',?,None,CLINTON,D,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And so, now that, I think, you know, we have resolved your data, we have agreed on an independent inquiry, we should move on.',?,None,CLINTON,D,1,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0
No,'Because I don\'t think the American people are all that interested in this.',?,None,CLINTON,D,1,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'I think they\'re more interested in what we have to say about all the big issues facing us.',?,None,CLINTON,D,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Yeah, David, look, for crying out loud, our country has been attacked, we have pressing issues involving how we\'re going to adapt to this changing era of warfare.',?,None,OMALLEY,D,1,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'Our economy -- people are working harder and being left behind.',?,None,OMALLEY,D,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'You want to know why things don\'t get done in Washington?',?,None,OMALLEY,D,1,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0
No,'Because for the last 24 hours, with those issues being so urgent to people as they tune in tonight, wondering how they\'re even be able to buy presents for their kids.',?,None,OMALLEY,D,1,51,2,0,0,0,0,0,0,0,0,1,0,4,0,0
No,'Instead, we\'re listening to the bickering back and forth.',?,None,OMALLEY,D,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Maybe that is normal politics in Washington, but that is not the politics of higher purpose that people expect from our party.',?,None,OMALLEY,D,1,52,1,0,1,0,0,0,0,0,0,0,0,0,0,0
No,'We need to address our security issues, we need to address the economic issues around the kitchen table.',?,None,OMALLEY,D,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And if people want a more high-minded politics and want to move our country forward, go on to martinomalley.com and help my campaign move our country forward.',?,None,OMALLEY,D,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Let me agree with Governor O\'Malley and let me agree with Secretary Clinton.',?,None,SANDERS,D,1,56,0,2,0,0,0,0,0,0,0,0,0,0,0,0
No,'You know, we had this incident before, Secretary, with your famous e-mails.',?,None,SANDERS,D,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,Right?,?,None,SANDERS,D,1,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And what I said and I think what Governor O\'Malley is saying, and I hope you say, is when the middle class of this country is disappearing, when we have massive income and wealth inequality, when we\'re the only major country on earth not guaranteeing health care to all people, all the issues that the governor talked about, the secretary talked about, those are the issues.',?,None,SANDERS,D,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'Media notwithstanding.',?,None,SANDERS,D,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Those are the issues that the American people want discussed.',?,None,SANDERS,D,1,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'I hope those are the issues we\'ll discuss.',?,None,SANDERS,D,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Well, first, the most important job of being president is obviously to keep our country safe and to keep the families of America safe.',?,None,CLINTON,D,1,64,0,0,1,0,0,0,0,1,0,0,0,0,0,0
No,'I have a plan that I\'ve put forward to go after ISIS.',?,None,CLINTON,D,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'Not to contain them, but to defeat them.',?,None,CLINTON,D,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And it has three parts.',?,None,CLINTON,D,1,65,2,0,0,0,0,0,1,0,0,0,0,0,0,0
No,'First, to go after them and deprive them of the territory they occupy now in both Syria and Iraq.',?,None,CLINTON,D,1,65,3,0,2,0,0,0,0,1,0,1,0,0,0,0
No,'Secondly, to go after and dismantle their global network of terrorism.',?,None,CLINTON,D,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And thirdly, to do more to keep us safe.',?,None,CLINTON,D,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Under each of those three parts of my plan, I have very specific recommendations about what to do.',?,None,CLINTON,D,1,66,2,0,0,0,0,0,1,0,0,0,0,0,0,0
No,'Obviously, in the first, we do have to have a -- an American-led air campaign, we have to have Arab and Kurdish troops on the ground.',?,None,CLINTON,D,1,67,0,0,0,0,3,0,0,1,0,0,0,0,0,0
No,'Secondly, we\'ve got to go after everything from North Africa to South Asia and beyond.',?,None,CLINTON,D,1,67,1,0,4,0,0,0,0,0,0,0,0,0,0,0
No,'And then, most importantly, here at home, I think there are three things that we have to get right.',?,None,CLINTON,D,1,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No,'We have to do the best possible job of sharing intelligence and information.',?,None,CLINTON,D,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'That now includes the internet, because we have seen that ISIS is a very effective recruiter, propagandist and inciter and celebrator of violence.',?,None,CLINTON,D,1,68,2,0,0,1,0,0,0,0,0,1,0,0,0,0
No,'That means we have to work more closely with our great tech companies.',?,None,CLINTON,D,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'They can\'t see the government as an adversary, we can\'t see them as obstructionists.',?,None,CLINTON,D,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'We\'ve got to figure out how we can do more to understand who is saying what and what they\'re planning.',?,None,CLINTON,D,1,69,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'And we must work more closely with Muslim-American communities.',?,None,CLINTON,D,1,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'Just like Martin, I met with a group of Muslim-Americans this past week to hear from them about what they\'re doing to try to stop radicalization.',?,None,CLINTON,D,1,70,1,1,0,0,0,0,0,0,0,3,0,0,0,0
No,'They will be our early warning signal.',?,None,CLINTON,D,1,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'That\'s why we need to work with them, not demonize them, as the Republicans have been doing.',?,None,CLINTON,D,1,70,3,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'David, I am the very first...',?,None,OMALLEY,D,1,71,0,1,0,0,0,0,0,1,0,0,0,0,0,0
No,'I\'m one of the 77 percent.',?,None,SANDERS,D,1,78,0,0,0,0,0,0,1,0,2,0,0,0,0,0
No,'I think this is a very difficult issue.',?,None,SANDERS,D,1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Let me agree with much of what the secretary and the governor have said.',?,None,SANDERS,D,1,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Let me tell you what I think we have got to do.',?,None,SANDERS,D,1,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I think it\'s a two-pronged issue.',?,None,SANDERS,D,1,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Number one, our goal is to crush and destroy ISIS.',?,None,SANDERS,D,1,79,0,0,0,1,0,0,1,0,0,0,0,0,0,0
No,'What is the best way to do it?',?,None,SANDERS,D,1,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Well, I think there are some differences of opinion here, perhaps between the secretary and myself.',?,None,SANDERS,D,1,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I voted against the war in Iraq because I thought unilateral military action would not produce the results that were necessary and would lead to the kind of unraveling and instability that we saw in the Middle East.',?,None,SANDERS,D,1,79,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Yes,'I do not believe in unilateral American action.',N,pbs.org,SANDERS,D,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,'I believe in action in which we put together a strong coalition of forces, major powers and the Muslim nations.',N,pbs.org,SANDERS,D,1,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,'I think one of the heroes in a real quagmire out there, in a dangerous and difficult world, one of the heroes who we should recognize in the Middle East is King Abdullah II of Jordan.',N,pbs.org,SANDERS,D,1,80,2,2,3,0,0,0,2,0,0,0,0,0,0,0
Yes,'This small country has welcomed in many refugees.',Y,pbs.org,SANDERS,D,1,80,3,0,0,0,0,0,0,0,0,0,0,0,0,1
No,'And Abdullah said something recently, very important.',?,None,SANDERS,D,1,81,0,1,0,0,0,0,0,0,0,1,0,0,0,0
No,'He said, \"Yes, international terrorism is by definition an international issue, but it is primarily an issue of the Muslim nations who are fighting for the soul of Islam.',?,None,SANDERS,D,1,81,1,0,0,0,2,0,0,0,0,0,0,0,0,0
No,'We the Muslims should lead the effort on the ground.\"',?,None,SANDERS,D,1,81,2,0,0,0,1,0,0,0,0,0,0,0,0,0
No,'And I believe he is absolutely right.',?,None,SANDERS,D,1,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Well, I think you have to look at both the terrorism challenge that we face abroad and certainly at home and the role that guns play in delivering the violence that stalks us.',?,None,CLINTON,D,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Clearly, we have to have a very specific set of actions to take.',?,None,CLINTON,D,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'You know, when Senator Sanders talks about a coalition, I agree with him about that.',?,None,CLINTON,D,1,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'We\'ve got to build a coalition abroad.',?,None,CLINTON,D,1,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'We also have to build a coalition at home.',?,None,CLINTON,D,1,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Abroad, we need a coalition that is going to take on ISIS.',?,None,CLINTON,D,1,84,5,0,0,1,0,0,0,0,0,0,0,0,0,0
No,'I know how hard that is.',?,None,CLINTON,D,1,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I know it isn\'t something you just hope people will do and I\'ve worked on that...',?,None,CLINTON,D,1,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Yes, I\'m getting...',?,None,CLINTON,D,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,...,N,washingtonpost.com,CLINTON,D,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,'I\'m getting to that.',N,washingtonpost.com,CLINTON,D,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,'Because I think if you only think about the coalition abroad you\'re missing the main point, which is we need a coalition here at home.',N,washingtonpost.com,CLINTON,D,1,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,'Guns, in and of themselves, in my opinion, will not make Americans safer.',N,washingtonpost.com,CLINTON,D,1,88,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,'We lose 33,000 people a year already to gun violence, arming more people to do what I think is not the appropriate response to terrorism.',Y,washingtonpost.com,CLINTON,D,1,88,4,0,0,0,0,0,1,0,0,0,0,2,0,1
No,'I think what is...',?,None,CLINTON,D,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Is creating much deeper, closer relations and, yes, coalitions within our own country.',?,None,CLINTON,D,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'The first line of defense against radicalization is in Muslim-American community.',?,None,CLINTON,D,1,91,1,0,0,0,1,0,0,1,0,0,0,0,0,0
No,'People who we should be welcoming and working with.',?,None,CLINTON,D,1,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I worry greatly that the rhetoric coming from the Republicans, particularly Donald Trump, is sending a message to Muslims here in the United States and literally around the world that there is a \"clash of civilizations,\" that there is some kind of Western plot or even \"war against Islam,\" which then I believe fans the flames of radicalization.',?,None,CLINTON,D,1,92,0,2,2,0,4,0,0,0,0,0,0,0,0,0
No,'So guns have to be looked at as its own problem, but we also have to figure out how we\'re going to deal with the radicalization here in the United States.',?,None,CLINTON,D,1,93,0,0,2,0,0,0,0,0,0,0,0,0,0,0
No,'It\'s a country in which people choose to buy guns.',?,None,SANDERS,D,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I think half of the -- more than half of the people in my own state of Vermont, my guess here in New Hampshire, are gun owners.',?,None,SANDERS,D,1,97,1,0,3,0,0,0,0,0,0,0,0,0,0,0
No,'That\'s the right of people.',?,None,SANDERS,D,1,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'But this is what I do believe.',?,None,SANDERS,D,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I believe that when we have some 300 million guns in this country, I believe that when we have seen these horrific mass killings, not only in San Bernardino, but in Colorado and movie theaters in Colorado, I think we have got to bring together the vast majority of the people who do in fact believe in sensible gun safety regulations.',?,None,SANDERS,D,1,98,1,0,4,0,0,0,2,0,0,0,0,0,0,0
No,'For example, talking about polls, a poll recently came out, overwhelming majority of the American people say we should strengthen the instant background check.',?,None,SANDERS,D,1,99,0,0,0,0,1,0,0,0,0,1,0,0,0,0
No,'Who denies that it is crazy...',?,None,SANDERS,D,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Who denies that it is crazy to allow people to own guns who are criminals or are mentally unstable?',?,None,SANDERS,D,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'We\'ve got to eliminate the gun show loophole.',?,None,SANDERS,D,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'In my view, we have got to see that weapons designed by the military to kill people are not in the hands of civilians.',?,None,SANDERS,D,1,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I think there is a consensus.',?,None,SANDERS,D,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I think -- I\'m not going to say that everybody is in agreement.',?,None,SANDERS,D,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'It\'s a divided country on guns.',?,None,SANDERS,D,1,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'But there is a broad consensus on sensible gun safety regulations that I, coming from a state that has virtually no gun control, will do my best to bring together.',?,None,SANDERS,D,1,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'Martha, if I may...',?,None,OMALLEY,D,1,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'Excuse me, no.',?,None,OMALLEY,D,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'I am the only person on this stage who has actually...',?,None,OMALLEY,D,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'... passed comprehensive gun safety legislation with a ban on combat assault weapons, David.',?,None,OMALLEY,D,1,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No,'And, look, there are profound differences...',?,None,OMALLEY,D,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,'Senator Sanders voted against the Brady Bill.',Y,factcheck.org,OMALLEY,D,1,116,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'Senator Sanders voted to give immunity to gun dealers.',Y,factcheck.org,OMALLEY,D,1,116,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'And Senator Sanders voted against even research dollars to look into this public health issue.',Y,factcheck.org,OMALLEY,D,1,116,2,1,0,0,0,0,0,0,0,0,0,0,0,1
Yes,'Secretary Clinton changes her position on this every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we don\'t need federal standards.',Y,factcheck.org,OMALLEY,D,1,117,0,2,0,0,0,0,1,0,0,1,0,1,0,1
No,'Look, what we need on this issue is not more polls.',?,None,OMALLEY,D,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,'We need more principle.',?,None,OMALLEY,D,1,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0
